nombre,calificacion,num_opiniones,descripcion,direccion,caracteristicas
Hotel Galicia Palace,"3,6",353,Servicio de habitaciones. Accesos adaptados para personas con discapacidades físicas. TV vía satélite. Leer más,"Avenida De Vigo, 3, 36003 Pontevedra España",Aparcamiento privado de pago dentro del recinto | Internet de alta velocidad gratuito (wifi) | Bar/salón | Actividades para niños (acondicionado para familias / niños) | Instalaciones para conferencias | Sala de banquetes | Espacio para guardar el equipaje | Conserje | Garaje | Wi-Fi | Cafetería | Restaurante | Desayuno bufé | Servicio de desayuno en la habitación | Bar de tapas | Menús de dieta especiales | Salas de reuniones | Hotel de no fumadores | Recepción 24 horas | Registro de entrada y salida exprés | Lavado en seco | Servicio de lavandería | Servicio de planchado | Aire acondicionado | Mesa de escritorio | Servicio de limpieza | Servicio de habitaciones | Teléfono | Minibar | Televisor de pantalla plana | Suite nupcial | Habitaciones de no fumadores | Suites | Habitaciones para familias
Hotel Rias Bajas,"3,6",399,"Hotel Rias Bajas es una magnífica elección para viajeros que vayan a Pontevedra, ya que ofrece un ambiente para familias además de numerosos servicios diseñados para mejorar su estancia. Hotel Rias Baixas ofrece una gran variedad de servicios en la habitación, como minibar y aire acondicionado, y puedes permanecer conectado, ya que hay wifi gratuito disponible. El hotel ofrece recepción abierta 24 horas, conserje y servicio de habitaciones, para que tu estancia sea incluso más agradable. El establecimiento también cuenta con desayuno. Los huéspedes que lleguen en coche tienen acceso a aparcamiento. Como está muy cerca de conocidos puntos de referencia, como Plaza de la Peregrina (0,1 km) y Iglesia de San Bartolomé (0,3 km), los huéspedes de Hotel Rias Bajas pueden acceder con facilidad a algunas de las atracciones más conocidas de Pontevedra. Mientras estés en Pontevedra no dejes de probar demandados platos de tapas en A Ultramar - Pepe Vieira, El Pitillo o Loaira Xantar. Pontevedra también se conoce por sus jardines, como Parque de las Palmeras y Jardines de Casto San Pedro, que no se encuentran muy lejos de Hotel Rias Bajas. ¡Disfruta de tu estancia en Pontevedra! Leer más","Rúa Daniel De La Sota Valdecilla, 7, 36001 Pontevedra España",Aparcamiento privado de pago cerca | Internet de alta velocidad gratuito (wifi) | Bar/salón | Instalaciones para conferencias | Sala de banquetes | Espacio para guardar el equipaje | Conserje | Registro de entrada 24 horas | Wi-Fi | Cafetería | Restaurante | Desayuno disponible | Desayuno bufé | Servicio de desayuno en la habitación | Menús infantiles | Bar de tapas | Menús de dieta especiales | Vino/champán | Salas de reuniones | Hotel de no fumadores | Salón compartido/sala de televisión | Recepción 24 horas | Registro de entrada y salida exprés | Lavado en seco | Servicio de lavandería | Servicio de planchado | Aire acondicionado | Servicio de limpieza | Balcón privado | Servicio de habitaciones | Minibar | Televisor de pantalla plana | Bañera/ducha | Artículos de aseo gratuitos de cortesía | Caja fuerte | Teléfono | Agua embotellada | Secador de pelo | Vistas a la ciudad | Habitaciones de no fumadores | Suites | Habitaciones para familias
Parador de Pontevedra,"3,9",832,"El Parador de Pontevedra se ubica en el casco histórico de la magnífica ciudad de Pontevedra, en un palacio renacentista del siglo XVI que fue residencia de los Condes de Maceda. En su entrada encontrarás una señorial escalinata de piedra labrada que te conducirá a las acogedoras habitaciones. El edificio, decorado con antigüedades y muebles clásicos de gran valor, tiene un precioso jardín donde puedes pasear o sentarte a disfrutar de los excelentes vinos de la zona. Leer más","Rua Baron 19, 36002 Pontevedra España",Aparcamiento público de pago cerca | Internet de alta velocidad gratuito (wifi) | Cafetería | Senderismo | Visitas guiadas a pie | Servicio de taxi | Sala de banquetes | Salas de reuniones | Wi-Fi | Restaurante | Desayuno disponible | Desayuno bufé | Servicio de desayuno en la habitación | Menús infantiles | Menús de dieta especiales | Espacio para guardar el equipaje | Conserje | Cambio de divisas | Hotel de no fumadores | Salón compartido/sala de televisión | Kit de primeros auxilios | Registro de entrada 24 horas | Recepción 24 horas | Servicio de lavandería | Servicio de planchado | Aire acondicionado | Mesa de escritorio | Servicio de limpieza | Servicio de habitaciones | Minibar | Televisor de pantalla plana | Bañera/ducha | Artículos de aseo gratuitos de cortesía | Caja fuerte | Teléfono | Armario | Perchero para la ropa | Baños privados | Servicio despertador/reloj con alarma | Secador de pelo | Habitaciones de no fumadores
